date et heure;Hauteur en mm;h (m);;;;;;;;;;;;
01/01/1994 00:00;566;0,216;;;;;;;;;;;;
01/01/1994 00:10;566;0,216;;;;;;;;;;;;
01/01/1994 00:20;565;0,215;;;;;;;;;;;;
01/01/1994 00:30;565;0,215;;;;;;;;;;;;
01/01/1994 00:40;565;0,215;;;;;;;;;;;;
01/01/1994 00:50;564;0,214;;;;;;;;;;;;
01/01/1994 01:00;564;0,214;;;;;;;;;;;;
01/01/1994 01:10;564;0,214;;;;;;;;;;;;
01/01/1994 01:20;563;0,213;;;;;;;;;;;;
01/01/1994 01:30;563;0,213;;;;;;;;;;;;
01/01/1994 01:40;563;0,213;;;;;;;;;;;;
01/01/1994 01:50;562;0,212;;;;;;;;;;;;
01/01/1994 02:00;562;0,212;;;;;;;;;;;;
01/01/1994 02:10;562;0,212;;;;;;;;;;;;
01/01/1994 02:20;561;0,211;;;;;;;;;;;;
01/01/1994 02:30;561;0,211;;;;;;;;;;;;
01/01/1994 02:40;561;0,211;;;;;;;;;;;;
01/01/1994 02:50;560;0,210;;;;;;;;;;;;
01/01/1994 03:00;560;0,210;;;;;;;;;;;;
01/01/1994 03:10;560;0,210;;;;;;;;;;;;
01/01/1994 03:20;559;0,209;;;;;;;;;;;;
01/01/1994 03:30;559;0,209;;;;;;;;;;;;
01/01/1994 03:40;559;0,209;;;;;;;;;;;;
01/01/1994 03:50;558;0,208;;;;;;;;;;;;
01/01/1994 04:00;558;0,208;;;;;;;;;;;;
01/01/1994 04:10;558;0,208;;;;;;;;;;;;
01/01/1994 04:20;557;0,207;;;;;;;;;;;;
01/01/1994 04:30;557;0,207;;;;;;;;;;;;
01/01/1994 04:40;557;0,207;;;;;;;;;;;;
01/01/1994 04:50;556;0,206;;;;;;;;;;;;
01/01/1994 05:00;556;0,206;;;;;;;;;;;;
01/01/1994 05:10;556;0,206;;;;;;;;;;;;
01/01/1994 05:20;555;0,205;;;;;;;;;;;;
01/01/1994 05:30;555;0,205;;;;;;;;;;;;
01/01/1994 05:40;555;0,205;;;;;;;;;;;;
01/01/1994 05:50;554;0,204;;;;;;;;;;;;
01/01/1994 06:00;554;0,204;;;;;;;;;;;;
01/01/1994 06:10;554;0,204;;;;;;;;;;;;
01/01/1994 06:20;553;0,203;;;;;;;;;;;;
01/01/1994 06:30;553;0,203;;;;;;;;;;;;
